город;предложный;винительный;плечо_км;страниц;сроки;зона
Екатеринбург;в Екатеринбурге;в Екатеринбург;0;16;По городу привозим в день заказа или на следующий день, самосвал подаём к участку, мешки заносим к воротам;все районы Екатеринбурга: Академический, Пионерский, Уралмаш, Эльмаш, Ботаника, Химмаш, Компрессорный, Широкая Речка, а также пригород в пределах ЕКАД
Берёзовский;в Берёзовском;в Берёзовский;15;11;Пригород Екатеринбурга, доставка быстрая, часто в день заказа;Берёзовский городской округ, посёлки Шиловка, Ключевск, Монетный
Верхняя Пышма;в Верхней Пышме;в Верхнюю Пышму;15;11;Пригород Екатеринбурга, привозим быстро, часто в день заказа;Верхняя Пышма и Среднеуральск, коттеджные посёлки по Серовскому тракту
Среднеуральск;в Среднеуральске;в Среднеуральск;25;11;Рядом с Верхней Пышмой, доставку совмещаем с рейсами по Серовскому тракту;Среднеуральск и берег Исетского озера, ближние садовые товарищества
Арамиль;в Арамили;в Арамиль;25;11;Рядом с Екатеринбургом, доставку согласуем на ближайший день;Арамиль и ближние посёлки по Кольцовскому и Челябинскому направлениям
Верхнее Дуброво;в Верхнем Дуброво;в Верхнее Дуброво;35;11;Совсем близко к Екатеринбургу, привозим быстро, часто в день заказа;посёлок Верхнее Дуброво и садовые товарищества вдоль Тюменского тракта
Первоуральск;в Первоуральске;в Первоуральск;45;11;Близко к Екатеринбургу, поэтому чаще всего успеваем день в день или на следующий день;Первоуральск и городской округ, включая Динас и ближние посёлки по Московскому тракту
Заречный;в Заречном;в Заречный;45;11;Короткое плечо по Тюменскому тракту, доставку согласуем на ближайший день;Заречный и Белоярское направление, включая посёлки Муранитный, Курманка и садовые товарищества у Белоярского водохранилища
Белоярский;в Белоярском;в Белоярский;40;11;Одно из самых близких направлений, часто успеваем в день заказа;Белоярский городской округ: посёлок Белоярский, Совхозный, Гагарский, Косулино и садовые товарищества вдоль Тюменского тракта
Ревда;в Ревде;в Ревду;45;11;Плечо короткое, доставку обычно согласуем на ближайший день;Ревда и городской округ, ближние садовые товарищества по трассе
Сысерть;в Сысерти;в Сысерть;50;11;Везём по Челябинскому тракту, срок согласуем под объём;Сысерть и городской округ, коттеджные посёлки по Челябинскому тракту
Полевской;в Полевском;в Полевской;55;11;Везём по Полевскому тракту, при заявке с утра обычно успеваем на следующий день;Полевской городской округ: северная и южная части города, Северский, а также посёлки Станционный-Полевской, Зюзельский и Красная Горка
Дегтярск;в Дегтярске;в Дегтярск;55;11;Доставку обычно совмещаем с рейсами в Ревду, срок согласуем при заявке;Дегтярск и ближние садовые товарищества между Ревдой и Полевским
Каменск-Уральский;в Каменске-Уральском;в Каменск-Уральский;100;11;Доставка из Екатеринбурга и с ближних площадок, обычно на следующий день после подтверждения объёма;Каменск-Уральский и Каменский район, включая Синарский и Красногорский районы города
Нижний Тагил;в Нижнем Тагиле;в Нижний Тагил;140;11;Везём из Екатеринбурга и с площадок под Тагилом, срок согласуем при заявке под ваш объём;Нижний Тагил: Ленинский, Дзержинский и Тагилстроевский районы, а также ближние посёлки
